,patient,pathway,event_type,event,time,resource_id,run
374,104,1,arrival_departure,depart,521.2094333460852,,1
375,113,1,resource_use,treatment_begins,521.2094333460852,3.0,1
376,115,1,arrival_departure,arrival,525.7824436617983,,1
377,115,1,queue,treatment_wait_begins,525.7824436617983,,1
378,41,2,resource_use_end,treatment_complete,526.3822599668748,1.0,1
379,41,2,arrival_departure,depart,526.3822599668748,,1
380,115,1,resource_use,treatment_begins,526.3822599668748,1.0,1
381,39,2,resource_use_end,treatment_complete,526.9146053453272,4.0,1
382,39,2,arrival_departure,depart,526.9146053453272,,1
383,44,2,resource_use,treatment_begins,526.9146053453272,4.0,1
384,116,2,arrival_departure,arrival,527.8516390419006,,1
385,116,2,queue,treatment_wait_begins,527.8516390419006,,1
386,117,2,arrival_departure,arrival,531.2740537184754,,1
387,117,2,queue,treatment_wait_begins,531.2740537184754,,1
388,118,2,arrival_departure,arrival,542.0729482230992,,1
389,118,2,queue,treatment_wait_begins,542.0729482230992,,1
390,119,2,arrival_departure,arrival,549.7815494032704,,1
391,119,2,queue,treatment_wait_begins,549.7815494032704,,1
392,42,2,resource_use_end,treatment_complete,554.1913498305421,2.0,1
393,42,2,arrival_departure,depart,554.1913498305421,,1
394,45,2,resource_use,treatment_begins,554.1913498305421,2.0,1
395,120,2,arrival_departure,arrival,555.637784355209,,1
396,120,2,queue,treatment_wait_begins,555.637784355209,,1
397,121,2,arrival_departure,arrival,556.4925340075021,,1
398,121,2,queue,treatment_wait_begins,556.4925340075021,,1
399,115,1,resource_use_end,treatment_complete,559.4873956191101,1.0,1
400,115,1,arrival_departure,depart,559.4873956191101,,1
401,46,2,resource_use,treatment_begins,559.4873956191101,1.0,1
402,122,2,arrival_departure,arrival,562.4396386909668,,1
403,122,2,queue,treatment_wait_begins,562.4396386909668,,1
404,113,1,resource_use_end,treatment_complete,564.1463818012539,3.0,1
405,113,1,arrival_departure,depart,564.1463818012539,,1
406,47,2,resource_use,treatment_begins,564.1463818012539,3.0,1
407,123,2,arrival_departure,arrival,564.7120303489662,,1
408,123,2,queue,treatment_wait_begins,564.7120303489662,,1
409,44,2,resource_use_end,treatment_complete,565.0568801115129,4.0,1
410,44,2,arrival_departure,depart,565.0568801115129,,1
411,48,2,resource_use,treatment_begins,565.0568801115129,4.0,1
412,124,1,arrival_departure,arrival,565.3308483334351,,1
413,124,1,queue,treatment_wait_begins,565.3308483334351,,1
414,125,1,arrival_departure,arrival,567.3279769237201,,1
415,125,1,queue,treatment_wait_begins,567.3279769237201,,1
416,126,1,arrival_departure,arrival,567.6807641046768,,1
417,126,1,queue,treatment_wait_begins,567.6807641046768,,1
418,127,2,arrival_departure,arrival,572.2561898552816,,1
419,127,2,queue,treatment_wait_begins,572.2561898552816,,1
420,128,2,arrival_departure,arrival,577.1145744627127,,1
421,128,2,queue,treatment_wait_begins,577.1145744627127,,1
422,129,1,arrival_departure,arrival,578.5860750092377,,1
423,129,1,queue,treatment_wait_begins,578.5860750092377,,1
424,130,2,arrival_departure,arrival,578.8152820943683,,1
425,130,2,queue,treatment_wait_begins,578.8152820943683,,1
426,45,2,resource_use_end,treatment_complete,591.6245692350104,2.0,1
427,45,2,arrival_departure,depart,591.6245692350104,,1
428,124,1,resource_use,treatment_begins,591.6245692350104,2.0,1
429,131,2,arrival_departure,arrival,592.4618343293209,,1
430,131,2,queue,treatment_wait_begins,592.4618343293209,,1
431,46,2,resource_use_end,treatment_complete,596.1433898790066,1.0,1
432,46,2,arrival_departure,depart,596.1433898790066,,1
433,125,1,resource_use,treatment_begins,596.1433898790066,1.0,1
434,132,1,arrival_departure,arrival,596.5008301269899,,1
435,132,1,queue,treatment_wait_begins,596.5008301269899,,1
